No.,Song name,EZ,HD,IN,AT
1,Glaciaxion,1.0,6.5,12.6,
2,Eradication Catastrophe,3.5,7.5,12.7,
3,Credits,4.5,10.4,13.6,15.7
4,Dlyrotz,4.0,9.1,13.7,
5,Engine x Start!! (melody mix),2.5,8.3,13.0,
6,光,2.0,7.5,12.4,
7,Winter ↑cube↓,3.5,8.2,13.4,
8,Cipher : /2&//<|0,5.0,10.3,14.4,
9,混乱-Confusion,4.0,10.0,14.8,
10,FULi AUTO SHOOTER,3.0,9.0,14.9,
11,HumaN,3.0,8.0,12.9,
12,[PRAW],6.0,10.6,15.1,
13,Pixel Rebelz,4.5,9.7,15.3,
14,Cereris,5.5,10.9,14.7,
15,Non-Melodic Ragez(MUG Edit),5.5,11.6,16.1,
16,Sultan Rage,4.0,7.0,12.3,
17,Class Memories,6.0,10.8,13.8,
18,-SURREALISM-,5.0,9.4,13.4,
19,Bonus Time,3.5,9.5,13.8,
20,ENERGY SYNERGY MATRIX,5.5,11.5,14.4,
21,NYA!!!(Phigros ver.),2.0,8.6,13.1,
22,JunXion Between Life And Death(VIP Mix),3.0,8.7,13.4,
23,cryout,3.5,9.9,13.6,
24,Reimei,6.5,11.7,15.1,
25,尊師 ～The Guru～,6.0,11.6,15.4,
26,Spasmodic,8.2,13.3,15.5,16.7
27,Leave All Behind,3.0,8.9,12.7,
28,Colorful Days♪,5.0,7.0,12.7,
29,micro.wav,6.0,10.5,14.7,
30,重生,4.5,8.8,14.4,
31,NO ONE YES MAN,7.0,10.9,15.5,
32,望影の方舟Six,6.5,11.9,15.9,
33,Igallta,7.5,12.2,16.1,17.4
34,Clock Paradox,2.0,6.0,12.5,
35,Chronologika,3.5,9.8,13.8,
36,Nick of Time,6.0,9.3,14.7,
37,Chronomia,4.5,11.1,15.4,
38,Chronos Collapse - La Campanella,4.5,12.3,16.3,
39,Rrhar'il,7.0,12.7,16.1,17.6
40,Crave Wave,2.5,8.0,13.7,
41,The Chariot ~REVIIVAL~,5.0,9.0,14.0,
42,Luminescence,5.0,11.0,14.5,
43,Retribution,6.0,11.6,16.2,
44,"DESTRUCTION 3,2,1",8.5,13.1,16.3,17.3
45,Distorted Fate,8.1,13.5,16.3,17.4
46,Ποσειδών,6.0,8.4,12.8,16.2
47,WATER,4.5,9.4,13.6,
48,Miracle Forest (VIP Mix),3.0,7.5,13.1,
49,MOBILYS,5.5,9.3,14.3,
50,Lyrith -迷宮リリス-,5.0,11.1,16.1,16.5
51,Demiurge,1.5,7.5,11.8,
52,Demonkin,4.5,9.2,13.8,
53,Re_Nascence (Psystyle Ver.),5.5,11.7,14.3,
54,Ark,3.5,9.5,15.0,16.5
55,After Dawn,3.0,10.4,15.3,
56,INFiNiTE ENERZY -Overdoze-,6.5,12.3,14.8,16.8
57,Khalid,4.0,8.2,13.1,
58,Quantum Hyperspace,6.0,11.2,15.0,
59,Freaky Undulations ~Noble Knights of Tune~,7.0,10.9,15.3,
60,PANIC PARADISE,6.5,11.5,15.4,
61,Re：End of a Dream,7.5,13.0,15.9,16.9
62,心の記憶,3.5,9.1,13.3,
63,Spotlight,4.5,9.9,14.4,
64,NightTheater,4.0,10.6,14.6,
65,Ramification,5.0,11.4,14.8,
66,Der Richter,5.5,11.4,15.6,
67,ATHAZA,8.1,12.9,15.7,16.6
68,Doppelganger,5.0,9.0,15.1,
69,もぺもぺ,2.0,6.5,11.1,15.4
70,MARENOL,2.0,10.3,13.9,
71,萤火虫の怨,4.0,9.8,13.0,
72,万吨匿名信,4.5,9.5,13.3,
73,风屿,5.5,9.8,14.0,15.1
74,dB doll,1.5,3.5,8.3,13.6
75,Dash,2.5,5.5,9.7,
76,云女孩,2.0,8.9,12.8,
77,Drop It,4.0,9.2,14.2,
78,RIPPER,6.5,11.7,15.3,
79,Aphasia,4.0,8.8,13.3,
80,开心病,7.0,11.9,13.8,
81,華灯爱,6.0,10.6,13.7,
82,Find_Me,5.5,10.5,14.3,
83,Sein,5.0,10.1,15.1,
84,狂喜蘭舞,7.0,10.8,14.3,16.4
85,Sparkle New Life,4.0,9.2,12.8,
86,Khronostasis Katharsis,6.0,11.8,14.0,
87,Snow Desert,5.0,10.3,13.4,
88,Burn,7.0,11.2,15.2,
89,Aleph-0,3.5,12.2,16.0,
90,Next Time,6.0,8.7,12.4,
91,Rubbish Sorting,3.5,9.4,13.2,
92,Another Me(Neutral Moon),5.5,9.3,13.6,
93,mechanted,3.0,11.3,14.9,
94,life flashes before weeb eyes,6.5,11.9,14.9,
95,Break Through The Barrier,5.5,9.5,14.5,
96,Chronostasis,6.0,10.7,16.0,
97,Dead Soul,4.5,12.0,14.4,
98,Infinity Heaven,3.0,8.4,13.9,
99,Disorder,6.0,10.3,14.8,
